0.49, 0.29, 0.48, 0.5, 0.56, 0.24, 0.35, 1
0.56, 0.4, 0.48, 0.5, 0.49, 0.37, 0.46, 1
0.22, 0.43, 0.48, 0.5, 0.48, 0.16, 0.28, 1
0.25, 0.4, 0.48, 0.5, 0.46, 0.44, 0.52, 1
0.34, 0.45, 0.48, 0.5, 0.38, 0.24, 0.35, 1
0.34, 0.33, 0.48, 0.5, 0.38, 0.35, 0.44, 1
0.4, 0.29, 0.48, 0.5, 0.42, 0.35, 0.44, 1
0.33, 0.45, 0.48, 0.5, 0.52, 0.32, 0.41, 1
0.18, 0.3, 0.48, 0.5, 0.46, 0.24, 0.35, 1
0.52, 0.57, 0.48, 0.5, 0.42, 0.47, 0.54, 1
0.25, 0.37, 0.48, 0.5, 0.43, 0.26, 0.36, 1
0.35, 0.48, 0.48, 0.5, 0.56, 0.4, 0.48, 1
0.44, 0.42, 0.48, 0.5, 0.42, 0.25, 0.2, 1
0.44, 0.28, 0.48, 0.5, 0.43, 0.27, 0.37, 1
0.52, 0.44, 0.48, 0.5, 0.37, 0.36, 0.42, 1
0.53, 0.42, 0.48, 0.5, 0.16, 0.29, 0.39, 1
0.4, 0.42, 0.48, 0.5, 0.37, 0.27, 0.27, 1
0.41, 0.43, 0.48, 0.5, 0.5, 0.24, 0.25, 1
0.24, 0.34, 0.48, 0.5, 0.38, 0.3, 0.4, 1
0.43, 0.32, 0.48, 0.5, 0.33, 0.45, 0.52, 1
0.38, 0.3, 0.48, 0.5, 0.43, 0.29, 0.39, 1
0.25, 0.51, 0.48, 0.5, 0.37, 0.42, 0.5, 1
0.0, 0.38, 0.48, 0.5, 0.42, 0.48, 0.55, 1
0.17, 0.52, 0.48, 0.5, 0.49, 0.37, 0.46, 1
0.26, 0.4, 0.48, 0.5, 0.36, 0.26, 0.37, 1
0.63, 0.47, 0.48, 0.5, 0.51, 0.82, 0.84, 2
0.23, 0.48, 0.48, 0.5, 0.59, 0.88, 0.89, 2
0.43, 0.4, 0.48, 0.5, 0.58, 0.75, 0.78, 2
0.46, 0.61, 0.48, 0.5, 0.48, 0.86, 0.87, 2
0.5, 0.66, 0.48, 0.5, 0.31, 0.92, 0.92, 2
0.64, 0.58, 0.48, 0.5, 0.48, 0.78, 0.73, 2
0.47, 0.59, 0.48, 0.5, 0.52, 0.76, 0.79, 2
0.45, 0.4, 0.48, 0.5, 0.61, 0.74, 0.77, 2
0.6, 0.61, 0.48, 0.5, 0.54, 0.67, 0.71, 2
0.83, 0.37, 0.48, 0.5, 0.61, 0.71, 0.74, 2
0.63, 0.65, 0.48, 0.5, 0.66, 0.67, 0.71, 2
0.6, 0.46, 0.48, 0.5, 0.45, 0.81, 0.83, 2
0.31, 0.36, 0.48, 0.5, 0.58, 0.94, 0.94, 2
0.52, 0.54, 0.48, 0.5, 0.62, 0.76, 0.79, 2
0.46, 0.59, 0.48, 0.5, 0.36, 0.76, 0.23, 2
0.83, 0.48, 0.48, 0.5, 0.65, 0.76, 0.79, 1
0.79, 0.36, 0.48, 0.5, 0.46, 0.82, 0.7, 1
0.75, 0.37, 0.48, 0.5, 0.64, 0.7, 0.74, 1
0.63, 0.42, 0.48, 0.5, 0.48, 0.77, 0.8, 1
0.73, 0.26, 0.48, 0.5, 0.57, 0.75, 0.78, 1
0.88, 0.42, 0.48, 0.5, 0.52, 0.73, 0.75, 1
0.79, 0.54, 0.48, 0.5, 0.5, 0.66, 0.68, 1
0.78, 0.68, 0.48, 0.5, 0.83, 0.4, 0.29, 1
0.52, 0.81, 0.48, 0.5, 0.72, 0.38, 0.38, 1
0.68, 0.63, 0.48, 0.5, 0.73, 0.4, 0.3, 1
0.66, 0.86, 0.48, 0.5, 0.34, 0.41, 0.36, 1
0.63, 1.0, 0.48, 0.5, 0.35, 0.51, 0.49, 1
0.66, 0.74, 0.48, 0.5, 0.31, 0.38, 0.43, 1
0.64, 0.72, 0.48, 0.5, 0.49, 0.42, 0.19, 1
0.32, 0.39, 0.48, 0.5, 0.53, 0.28, 0.38, 1
0.63, 0.86, 0.48, 0.5, 0.39, 0.47, 0.34, 1
0.75, 0.84, 0.48, 0.5, 0.35, 0.52, 0.33, 1
0.69, 0.67, 0.48, 0.5, 0.3, 0.39, 0.24, 1
0.7, 0.71, 0.48, 0.5, 0.42, 0.84, 0.85, 1
0.63, 0.8, 0.48, 0.5, 0.46, 0.31, 0.29, 1
0.64, 0.78, 0.48, 0.5, 0.5, 0.36, 0.38, 1
0.62, 0.78, 0.48, 0.5, 0.47, 0.49, 0.54, 1
0.76, 0.73, 0.48, 0.5, 0.44, 0.39, 0.39, 1
0.69, 0.65, 0.48, 0.5, 0.63, 0.48, 0.41, 1
0.74, 0.56, 0.48, 0.5, 0.47, 0.68, 0.3, 1
0.61, 0.6, 0.48, 0.5, 0.44, 0.39, 0.38, 1
0.59, 0.61, 0.48, 0.5, 0.42, 0.42, 0.37, 1
